Symbol,Name,Sector,Industry,52high,52low,변동률(%),Sector2
A002200,한국수출포장,"골판지, 종이 상자 및 종이용기 제조업","골판지상자,골판지원지 제조,판매",26850,21000,27.85714286,제조
A017890,한국알콜,기타 화학제품 제조업,주정,13950,9330,49.51768489,화학
A000240,한국앤컴퍼니,기타 금융업,비금융지주회사,17800,11500,54.7826087,금융업
A080720,한국유니온제약,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품",11800,5920,99.32432432,의료/의약
A123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",4640,3105,49.43639291,금융업
A015760,한국전력,전기업,"전력자원개발,발전,송전,전력용기자재확보",24750,18900,30.95238095,전기/전자
A063570,한국전자금융,기타 사업지원 서비스업,"ATM관리사업,CD-VAN사업",6870,4325,58.84393064,서비스/오락/문화
A041460,한국전자인증,소프트웨어 개발 및 공급업,"개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공",11000,5000,120,IT
A006200,한국전자홀딩스,기타 금융업,"시장조사,경영컨설팅",2565,1205,112.8630705,금융업
A039740,한국정보공학,기타 전문 도매업,"그룹웨어, 자료관리시스템",8720,3200,172.5,유통
A053300,한국정보인증,소프트웨어 개발 및 공급업,"공인인증서, PKI솔루션 등",7160,4725,51.53439153,IT
A025770,한국정보통신,전기 통신업,"신용카드부가통신업(VAN),전자지급결제대행업(PG)",15950,7460,113.8069705,방송/통신
A009540,한국조선해양,선박 및 보트 건조업,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",104500,77800,34.31876607,운송/운수
A023350,한국종합기술,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사",9840,5710,72.32924694,건설업
A025890,한국주강,특수 목적용 기계 제조업,"주강,주물 제조,도매",8240,2440,237.704918,기계
A000970,한국주철관,1차 철강 제조업,"수도용주철관,강관 제조",10650,7090,50.21156559,철강
A104700,한국철강,1차 철강 제조업,철근. 단조강. 파이프,10050,6230,61.31621188,철강
A017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업","탄소섬유(카본프리프레그(낚시대,테니스라켓,골프 Shaft,스포츠레저용품)),합성수지,글라스페이퍼,LNG선박용 단열판넬 제조,도매",16050,9330,72.02572347,철강
A023760,한국캐피탈,기타 금융업,리스수수료,922,722,27.70083102,금융업
A054040,한국컴퓨터,전자부품 제조업,PCB Assembly (PBA),5360,3390,58.1120944,전기/전자
A050540,한국코퍼레이션,기타 사업지원 서비스업,"CRM서비스,CRM솔루션",2820,822,243.0656934,서비스/오락/문화
A161890,한국콜마,기타 화학제품 제조업,"화장품, 의약품",48200,34150,41.1420205,화학
A024720,한국콜마홀딩스,기타 금융업,"화장품,의약부외품의 주문자표시 제조,도매",24200,15000,61.33333333,금융업
A021650,한국큐빅,플라스틱제품 제조업,Curl Fit(표면처리사업),4550,2465,84.5841785,제조
A161390,한국타이어앤테크놀로지,고무제품 제조업,타이어 제조,45650,30600,49.18300654,제조
A053590,한국테크놀로지,가전제품 및 정보통신장비 소매업,신재생에너지관련장비,1230,677,81.68389956,서비스/오락/문화
A034830,한국토지신탁,신탁업 및 집합투자업,부동산신탁 등,2855,1425,100.3508772,금융업
A007280,한국특강,1차 철강 제조업,"철강압연제품(앵글,이형형강,평철,환봉) 제조,판매",3495,2220,57.43243243,철강
A032300,한국파마,의약품 제조업,"완제의약품(정신신경계, 소화기계, 순환기계, 항생항균, 기타)",65700,20700,217.3913043,의료/의약
A037230,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업","카톤팩, 골판지 상자",5610,2400,133.75,제조
A010100,한국프랜지,자동차 신품 부품 제조업,"자동차부품(제동,구동장치),프랜지(관이음쇠),철구조물,산업기계 제조",3215,2210,45.47511312,제조
A047810,한국항공우주,"항공기,우주선 및 부품 제조업","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품",62000,27300,127.1062271,제조
A123690,한국화장품,생활용품 도매업,화장품,11400,6900,65.2173913,유통
A003350,한국화장품제조,기타 화학제품 제조업,"화장품(OEM,ODM)",33650,20500,64.14634146,화학
A030520,한글과컴퓨터,소프트웨어 개발 및 공급업,오피스소프트웨어,33150,14050,135.9430605,IT
A052600,한네트,전기 통신업,"현금서비스, 예금인출",11400,5560,105.0359712,방송/통신
A011500,한농화성,기타 화학제품 제조업,"계면활성제,글리콜에테르 제조,판매",23850,11400,109.2105263,화학
A002390,한독,의약품 제조업,"의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",25100,15250,64.59016393,의료/의약
A256150,한독크린텍,일반 목적용 기계 제조업,정수기 필터,13950,9120,52.96052632,기계
A014790,한라,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",6500,3180,104.4025157,건설업
A092460,한라IMS,선박 및 보트 건조업,"선용원격자동측정시스템,선용원격자동경보시스템",6490,4650,39.56989247,운송/운수
A060980,한라홀딩스,기타 금융업,지주회사 및 경영컨설팅 서비스업,55500,33600,65.17857143,금융업
A053690,한미글로벌,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축 설계,감리/건축공사,토목공사,설비공사,전기공사,안전공사",26400,9530,177.019937,건설업
A042700,한미반도체,특수 목적용 기계 제조업,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",19300,11650,65.66523605,기계
A008930,한미사이언스,기타 금융업,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",60922,31900,90.97805643,금융업
A128940,한미약품,의약품 제조업,의약품,324000,226000,43.36283186,의료/의약
A047080,한빛소프트,소프트웨어 개발 및 공급업,"게임(스타크래프트 등), 교육, 솔루션",6750,2985,126.1306533,IT
A009240,한샘,생활용품 도매업,"주방가구(씽크대),인테리어가구 판매,제조/주택신축판매",120000,44250,171.1864407,유통
A020000,한섬,봉제의복 제조업,"여성의류,금속 액세서리,신발,가방,선글라스 제조,판매",43950,25300,73.71541502,제조
A003680,한성기업,수산물 가공 및 저장 처리업,"냉동식품,햄제품 제조,도매,보관/원양어업",10550,5230,101.7208413,제조
A105630,한세실업,봉제의복 제조업,의류 완제품,29500,15000,96.66666667,제조
A069640,한세엠케이,"섬유, 의복, 신발 및 가죽제품 소매업","케주얼웨어(BUCKAROO, TBJ 등)",6090,2665,128.5178236,서비스/오락/문화
A016450,한세예스24홀딩스,봉제의복 제조업,"의류(니트) 제조,도소매,원단 제조,부동산 임대",8370,4450,88.08988764,제조
A010420,한솔PNS,기타 전문 도매업,"정보시스템구축 및 유지보수, 포장재제조 및 가공, 지류가공 및 판매",2260,1380,63.76811594,유통
A009180,한솔로지스틱스,기타 운송관련 서비스업,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점",5090,2600,95.76923077,운송/운수
A114810,한솔아이원스,특수 목적용 기계 제조업,"반도체 장비 부품 제조 및 세정, LCD 장비 부품 제조",12850,6610,94.40242057,기계
A070590,한솔인티큐브,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업통신 및 무선인터넷,3520,1720,104.6511628,IT
A213500,한솔제지,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",17250,11600,48.70689655,제조
A014680,한솔케미칼,기초 화학물질 제조업,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",362500,176500,105.3824363,화학
A004710,한솔테크닉스,전자부품 제조업,"백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조",7810,5000,56.2,전기/전자
A004150,한솔홀딩스,기타 금융업,"지주회사,경영자문컨설팅",4015,3005,33.61064892,금융업
A025750,한솔홈데코,제재 및 목재 가공업,"PB,MDF,바닥재,강화,재생목재,LPM,제재목 제조,도소매,무역/임업,벌목관련 사업",2040,1065,91.54929577,제조
A226440,한송네오텍,특수 목적용 기계 제조업,OLED FMM 인장기,2160,1270,70.07874016,기계
A042520,한스바이오메드,의료용품 및 기타 의약 관련제품 제조업,"인체이식용조직(인조피부,인조뼈),의료용시술재료(가슴보형물)",16050,9390,70.92651757,의료/의약
A004960,한신공영,건물 건설업,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",20500,9700,111.3402062,건설업
A011700,한신기계,일반 목적용 기계 제조업,"공기압축기,공구류 제조,판매/오파",14050,2850,392.9824561,기계
A078350,한양디지텍,반도체 제조업,메모리 모듈,19100,8000,138.75,전기/전자
A045100,한양이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업",반도체배관설비,17250,12550,37.4501992,건설업
A001750,한양증권,금융 지원 서비스업,증권업,18550,9150,102.7322404,금융업
A018880,한온시스템,일반 목적용 기계 제조업,"자동차용부품(라디에이터,히터,에어콘,압축기,콘덴서,컴퓨레사) 제조,도매",15850,9440,67.90254237,기계
A009420,한올바이오파마,의약품 제조업,"의약품 제조,도매/부동산 임대",21600,12900,67.44186047,의료/의약
A014130,한익스프레스,도로 화물 운송업,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매",6530,4645,40.58127018,운송/운수
A046110,한일네트웍스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서비스ASP,12650,5500,130,서비스/오락/문화
A024740,한일단조,자동차 신품 부품 제조업,단조품,4385,2175,101.6091954,제조
A005860,한일사료,동물용 사료 및 조제식품 제조업,배합사료,13350,1815,635.5371901,제조
A300720,한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",26000,12250,112.244898,제조
A123840,한일진공,특수 목적용 기계 제조업,진공장비,944,470,100.8510638,기계
A002220,한일철강,1차 철강 제조업,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매",6110,2535,141.025641,철강
A006390,한일현대시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스",37600,20300,85.22167488,제조
A003300,한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업",지주사업,13909,10400,33.74038462,제조
A007770,한일화학,기초 화학물질 제조업,산화아연,35150,14350,144.9477352,화학
A051600,한전KPS,전기 및 통신 공사업,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",45250,32250,40.31007752,전기/전자
A052690,한전기술,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 설계 등,113000,43950,157.1103527,건설업
A130660,한전산업,"건축기술, 엔지니어링 및 관련 기술 서비스업","발전설비 운전·정비, 전기검침",17950,8530,110.4337632,건설업
A002320,한진,도로 화물 운송업,"포장화물,택배산업,항만하역,고속버스사업,운수보관",37250,21800,70.87155963,운송/운수
A003480,한진중공업홀딩스,연료용 가스 제조 및 배관공급업,지주회사,5710,3360,69.94047619,전기/전자
A180640,한진칼,항공 여객 운송업,"지주사업, 경영자문 및 컨설팅",65300,39150,66.79438059,운송/운수
A18064K,한진칼우,항공 여객 운송업,"지주사업, 경영자문 및 컨설팅",44400,21600,105.5555556,운송/운수
A005110,한창,기계장비 및 관련 물품 도매업,"소화기, 통신장비 유통",1530,690,121.7391304,기계
A043090,한창바이오텍,기타 전문 도매업,"바이오리엑터(Bioreactor, 생물반응기)",5050,1305,286.9731801,유통
A079170,한창산업,1차 비철금속 제조업,"아연말,리튬브로마이드,산화망간,인산아연",10400,7170,45.0488145,제조
A009460,한창제지,"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입",2260,1380,63.76811594,제조
A372910,한컴라이프케어,의료용 기기 제조업,"공기호흡기, 방독면, 보호복 등",10550,4350,142.5287356,의료/의약
A054920,한컴위드,소프트웨어 개발 및 공급업,전자상거래 보안 솔루션,10250,4150,146.9879518,IT
A002680,한탑,"곡물가공품, 전분 및 전분제품 제조업","소맥분(밀가루),배합사료",4590,997,360.3811434,제조
